Scientific name	Authority	Status
Anas bernieri	"(Hartlaub, 1860)"	R
Anas gibberifrons	"M�ller, 1842"	R
Anas gracilis	"Buller, 1869"	R
Anas castanea	"(Eyton, 1838)"	R
Anas aucklandica	"(Gray, 1844)"	NR
Anas aucklandica	"(Gray, 1844)"	R
Anas chlorotis	"Gray, 1845"	R
Anas nesiotis	"(Fleming, 1935)"	R
Anas bahamensis	"Linnaeus, 1758"	R
Anas erythrorhyncha	"Gmelin, 1789"	R
Anas flavirostris	"Vieillot, 1816"	NR
Anas flavirostris	"Vieillot, 1816"	R
Anas andium	"(Sclater & Salvin, 1873)"	R
Anas acuta	"Linnaeus, 1758"	R
Anas eatoni	"(Sharpe, 1875)"	R
Anas georgica	"Gmelin, 1789"	R
Anas querquedula	"Linnaeus, 1758"	R
Anas formosa	"Georgi, 1775"	R
Anas crecca	"Linnaeus, 1758"	R
Anas crecca	"Linnaeus, 1758"	NR
Anas carolinensis	"Gmelin, 1789"	NR
Anas puna	"Tschudi, 1844"	R
Anas versicolor	"Vieillot, 1816"	R
Anas hottentota	"(Eyton, 1838)"	R
Marmaronetta angustirostris	"(M�n�tri�s, 1832)"	R
Rhodonessa caryophyllacea	"(Latham, 1790)"	R
Netta rufina	"(Pallas, 1773)"	R
Netta peposaca	"(Vieillot, 1816)"	R
Netta erythrophthalma	"(Wied, 1832)"	R
Aythya ferina	"(Linnaeus, 1758)"	R
Aythya valisineria	"(Wilson, 1814)"	R
Aythya americana	"(Eyton, 1838)"	R
Aythya collaris	"(Donovan, 1809)"	R
Aythya nyroca	"(G�ldenst�dt, 1770)"	R
Aythya innotata	"(Salvadori, 1894)"	R
Aythya baeri	"(Radde, 1863)"	R
Aythya australis	"(Eyton, 1838)"	R
Aythya fuligula	"(Linnaeus, 1758)"	R
Aythya novaeseelandiae	"(Gmelin, 1789)"	R
Aythya marila	"(Linnaeus, 1761)"	R
Aythya affinis	"(Eyton, 1838)"	R
Polysticta stelleri	"(Pallas, 1769)"	R
Somateria mollissima	"(Linnaeus, 1758)"	R
Somateria spectabilis	"(Linnaeus, 1758)"	R
Somateria fischeri	"(Brandt, 1847)"	R
Histrionicus histrionicus	"(Linnaeus, 1758)"	R
Camptorhynchus labradorius	"(Gmelin, 1789)"	R
Melanitta nigra	"(Linnaeus, 1758)"	R
